Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
12,KY4KY,146.745000,-,0.600000,Tone,79.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Brooks, KY - Louisville SKYWARN, BARS(Bullet County) Club",,,,
13,WD9HMH,146.775000,-,0.600000,TSQL,151.4,103.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Corydon, IN",,,,
14,WB9GNA,146.820000,-,0.600000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Frenchtown, KY",,,,
15,KC9UMH,146.850000,-,0.600000,,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"New Albany, IN",,,,
16,KN4ZYS,146.880000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Louisville, KY",,,,
17,K4KTR,146.940000,-,0.600000,Cross,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Louisville - LG&E ARC,,,,
18,N9TV,146.980000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Louisville,,,,
19,W4BEJ,147.000000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Elizabethtown, KY - Lincoln Trail Amateur Radio Club",,,,
20,WB4EJK,147.030000,+,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Louisville, KY",,,,
21,WB4EJK,147.270000,+,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Louisville, KY",,,,
22,W4PJZ,147.045000,+,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Louisville - Jefferson County RACES,,,,
23,WB9OHY,147.070000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Paoli, IN - Orange County",,,,
24,N9GTO,147.090000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Louisville,,,,
25,N4MRM,147.105000,+,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Louisville - Located in Pleasure Ridge Park Area,,,,
